name,code,category,url,image_url,image_path,price,calories,description,vegetarian
Variety Taco Party Pack,26054,Groups,https://www.tacobell.com/food/party-packs/variety-taco-party-pack,https://www.tacobell.com/images/22119_variety_taco_12_pack_269x269.jpg,images/Variety_Taco_Party_Pack.jpg,$24.99,170,,False
Supreme Variety Taco Party Pack,26055,Groups,https://www.tacobell.com/food/party-packs/supreme-variety-party-pack,https://www.tacobell.com/images/21202_supreme_variety_pack_269x269.jpg,images/Supreme_Variety_Taco_Party_Pack.jpg,$30.99,190,,False
Drinks Party Pack,21210,Groups,https://www.tacobell.com/food/deals-and-combos/drinks-party-pack,https://www.tacobell.com/images/21210_drink_party_pack_269x269.jpg,images/Drinks_Party_Pack.jpg,$4.00,0-1120,,False
Beefy Potato Loaded Griller,25501,Specialties,https://www.tacobell.com/food/specialties/beefy-potato-loaded-griller,https://www.tacobell.com/images/25501_beef_potato_loaded_griller_269x269.jpg,images/Beefy_Potato_Loaded_Griller.jpg,$2.79,490,,False
Mini Taco Salad,25502,Specialties,https://www.tacobell.com/food/specialties/mini-taco-salad,https://www.tacobell.com/images/25502_mini_taco_salad_269x269.jpg,images/Mini_Taco_Salad.jpg,$2.49,280,,False
Avocado Ranch Chicken Stacker,25500,Specialties,https://www.tacobell.com/food/specialties/avocado-ranch-chicken-stacker,https://www.tacobell.com/images/25500_chipotle_ranch_chicken_stacker_269x269.jpg,images/Avocado_Ranch_Chicken_Stacker.jpg,$2.99,430,,False
10 Piece Crispy Chicken Nuggets,29405,Specialties,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29405_10pc_crispy_chicken_nuggets_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets.jpg,$7.99,620,,False
5 Piece Crispy Chicken Nuggets,29404,Specialties,https://www.tacobell.com/food/deals-and-combos/5-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29404_5pc_crispy_chicken_nuggets_269x269.jpg,images/5_Piece_Crispy_Chicken_Nuggets.jpg,$4.99,310,,False
Steak Garlic Nacho Fries,23891,Specialties,https://www.tacobell.com/food/specialties/steak-garlic-nacho-fries,https://www.tacobell.com/images/23891_steak_garlic_nacho_fries_269x269.jpg,images/Steak_Garlic_Nacho_Fries.jpg,$5.49,490,,False
Volcano Quesarito,26086,Specialties,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$5.49,640,,False
Large Nacho Fries,28183,Specialties,https://www.tacobell.com/food/deals-and-combos/large-nacho-fries,https://www.tacobell.com/images/28183_nacho_fries_large_269x269.jpg,images/Large_Nacho_Fries.jpg,$3.69,470,,True
Nacho Fries,28095,Specialties,https://www.tacobell.com/food/deals-and-combos/nacho-fries,https://www.tacobell.com/images/28095_nacho_fries_269x269.jpg,images/Nacho_Fries.jpg,$2.89,330,,True
3 Cheese Chicken Flatbread Melt,23499,Specialties,https://www.tacobell.com/food/quesadillas/3-cheese-chicken-flatbread-melt,https://www.tacobell.com/images/23499_new_3_cheese_chicken_flatbread_melt_269x269.jpg,images/3_Cheese_Chicken_Flatbread_Melt.jpg,$2.39,330,,False
Mexican Pizza,22303,Specialties,https://www.tacobell.com/food/specialties/mexican-pizza,https://www.tacobell.com/images/22303_mexican_pizza_269x269.jpg,images/Mexican_Pizza.jpg,$6.39,530,,False
Veggie Mexican Pizza,23326,Specialties,https://www.tacobell.com/food/specialties/veggie-mexican-pizza,https://www.tacobell.com/images/23326_veggie_mexican_pizza_269x269.jpg,images/Veggie_Mexican_Pizza.jpg,$5.99,460,,True
Crunchwrap Supreme®,22362,Specialties,https://www.tacobell.com/food/specialties/crunchwrap-supreme,https://www.tacobell.com/images/22362_crunchwrap_supreme_269x269.jpg,images/Crunchwrap_Supreme.jpg,$6.59,530,,False
Black Bean Crunchwrap Supreme®,26051,Specialties,https://www.tacobell.com/food/specialties/black-bean-crunchwrap-supreme,https://www.tacobell.com/images/26051_vegetarian_crunchwrap_269x269.jpg,images/Black_Bean_Crunchwrap_Supreme.jpg,$5.99,520,,True
Cheesy Roll Up,22152,Specialties,https://www.tacobell.com/food/sides/cheesy-roll-up,https://www.tacobell.com/images/22152_cheesy_roll_up_269x269.jpg,images/Cheesy_Roll_Up.jpg,$1.29,180,,True
Creamy Chipotle Crispy Chicken Soft Taco,29014,Tacos,https://www.tacobell.com/food/tacos/creamy-chipotle-crispy-chicken-taco,https://www.tacobell.com/images/29014_creamy_chipotle_crispy_chicken_taco_269x269.jpg,images/Creamy_Chipotle_Crispy_Chicken_Soft_Taco.jpg,$3.19,270,,False
Avocado Ranch Crispy Chicken Soft Taco,29015,Tacos,https://www.tacobell.com/food/tacos/avocado-ranch-crispy-chicken-taco,https://www.tacobell.com/images/29015_avocado_ranch_crispy_chicken_taco_269x269.jpg,images/Avocado_Ranch_Crispy_Chicken_Soft_Taco.jpg,$3.49,270,,False
Cantina Chicken Crispy Taco,23471,Tacos,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-crispy-taco,https://www.tacobell.com/images/23471_new_cantina_chicken_crispy_taco_269x269.jpg,images/Cantina_Chicken_Crispy_Taco.jpg,$3.49,330,,False
