restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
Jersey Mike's,42-hot-giant-chipotle-chicken-philly-white-sub,#42 - Hot Giant - Chipotle Chicken Philly - White Sub,,1770,102,91,139,4720,22,1,270,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,43-hot-giant-chipotle-steak-philly-rosemary-parmesan,#43 - Hot Giant - Chipotle Steak Philly - Rosemary Parmesan,,1960,94,116,139,5070,34,1,300,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,43-hot-giant-chipotle-steak-philly-wheat-sub,#43 - Hot Giant - Chipotle Steak Philly - Wheat Sub,,1920,93,113,138,4870,32,1,290,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,43-hot-giant-chipotle-steak-philly-white-sub,#43 - Hot Giant - Chipotle Steak Philly - White Sub,,1910,90,113,137,4920,32,1,290,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,44-hot-giant-buffalo-chicken-cheesesteak-rosemary-parmesan,#44 - Hot Giant - Buffalo Chicken Cheesesteak - Rosemary Parmesan,,1620,107,73,138,7200,20,2,260,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,44-hot-giant-buffalo-chicken-cheesesteak-wheat-sub,#44 - Hot Giant - Buffalo Chicken Cheesesteak - Wheat Sub,,1580,106,70,137,7000,18,2,250,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,44-hot-giant-buffalo-chicken-cheesesteak-white-sub,#44 - Hot Giant - Buffalo Chicken Cheesesteak - White Sub,,1570,103,70,136,7060,18,2,250,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,54-hot-giant-hot-veggie-rosemary-parmesan,#54 - Hot Giant - Hot Veggie - Rosemary Parmesan,,1130,55,38,147,3640,22,1,110,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,54-hot-giant-hot-veggie-wheat-sub,#54 - Hot Giant - Hot Veggie - Wheat Sub,,1090,54,35,146,3440,20,1,100,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,54-hot-giant-hot-veggie-white-sub,#54 - Hot Giant - Hot Veggie - White Sub,,1080,51,35,146,3490,20,1,100,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
