restaurant_name,food_name,calories,protein_g,total_fat_g,sodium_mg,total_carbs_g,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,food_id,food_name_cn,description,allergens,local_image_path,scraped_date
Taco Bell,Burrito Supreme - Beef,400,16,14,1130,51,6,0,25,8,4,2713,,"Burrito Supreme - Beef, Burritos",,,2026-02-04
Taco Bell,Chalupa Supreme - Chicken,340,16,17,580,29,4,0,35,3,4,2755,,"Chalupa Supreme - Chicken, Tacos",,,2026-02-04
Taco Bell,Chalupa Supreme - Steak,350,15,18,590,30,4.5,0,30,3,4,2756,,"Chalupa Supreme - Steak, Tacos",,,2026-02-04
Taco Bell,Bean Burrito (V),350,13,9,1040,55,4,0,5,10,3,2707,,"Bean Burrito (V), Burritos, Veggie Cravings",,,2026-02-04
Taco Bell,Cheesy Toasted Breakfast Burrito - Bacon,350,13,16,880,38,5,0,105,2,3,950247,,"Cheesy Toasted Breakfast Burrito - Bacon, Breakfast",,,2026-02-04
Taco Bell,Chalupa Supreme - Beef,360,12,21,570,31,6,0,25,4,4,2754,,"Chalupa Supreme - Beef, Tacos",,,2026-02-04
Taco Bell,Breakfast Quesadilla - Steak,510,28,25,1310,41,14,0,160,3,4,954725,,"Breakfast Quesadilla - Steak, Breakfast",,,2026-02-04
Taco Bell,Grande Toasted Breakfast Burrito - Steak,570,27,28,1370,52,10,0,230,4,4,950252,,"Grande Toasted Breakfast Burrito - Steak, Breakfast",,,2026-02-04
Taco Bell,Power Menu Bowl - Chicken,460,27,21,1250,41,6,0,70,8,3,34572,,"Power Menu Bowl - Chicken, Power Menu",,,2026-02-04
Taco Bell,Power Menu Bowl - Specialties,460,27,21,1250,41,6,0,70,8,3,950234,,Power Menu Bowl - Specialties,,,2026-02-04
Taco Bell,Quesadilla - Chicken,520,26,26,1260,41,13,0,75,3,3,2767,,"Quesadilla - Chicken, Quesadillas",,,2026-02-04
Taco Bell,Quesadilla - Steak,520,26,27,1270,42,14,0,70,3,4,178778,,"Quesadilla - Steak, Quesadillas",,,2026-02-04
Taco Bell,Quesadilla - Specialties,520,26,26,1260,41,13,0,75,3,3,950235,,Quesadilla - Specialties,,,2026-02-04
Taco Bell,Breakfast Quesadilla - Bacon,510,25,27,1250,41,14,0,150,3,3,954723,,"Breakfast Quesadilla - Bacon, Breakfast",,,2026-02-04
Taco Bell,Quesarito - Chicken,630,25,30,1430,65,11,0,60,4,4,180357,,"Quesarito - Chicken, Burritos",,,2026-02-04
Taco Bell,Breakfast Crunchwrap - Steak,660,24,38,1360,53,12,0,140,4,3,102422,,"Breakfast Crunchwrap - Steak, Breakfast",,,2026-02-04
Taco Bell,Quesarito - Steak,630,24,31,1440,65,12,0,55,4,5,134581,,"Quesarito - Steak, Burritos",,,2026-02-04
Taco Bell,Breakfast Crunchwrap - Bacon,670,21,40,1300,52,13,0,135,4,3,34605,,"Breakfast Crunchwrap - Bacon, Breakfast",,,2026-02-04
Taco Bell,Quesarito - Beef,650,21,33,1420,67,13,0.5,50,5,4,102403,,"Quesarito - Beef, Burritos, Quesadillas",,,2026-02-04
Taco Bell,Quesarito - Online Exclusive,650,21,33,1420,67,13,0.5,50,5,4,954716,,Quesarito - Online Exclusive,,,2026-02-04
Taco Bell,Quesarito - Specialties,650,21,33,1420,67,13,0.5,50,5,4,954731,,Quesarito - Specialties,,,2026-02-04
Taco Bell,Breakfast Crunchwrap - Sausage,730,20,47,1290,52,15,0,140,4,3,34606,,"Breakfast Crunchwrap - Sausage, Breakfast",,,2026-02-04
Taco Bell,Cinnabon Delights (12 Pk - Serves 4) (V),930,9,53,480,104,13,2,40,3,59,102369,,"Cinnabon Delights (12 Pk - Serves 4) (V), Sides & Sweets",,,2026-02-04
Taco Bell,Cinnabon Delights (12 Pack - Serves 4) (V),930,9,53,480,104,13,2,40,3,59,954601,,"Cinnabon Delights (12 Pack - Serves 4) (V), Breakfast",,,2026-02-04
Taco Bell,Cinnabon Delights (12 Pack - Serves 4),930,9,53,480,104,13,2,40,3,59,954602,,"Cinnabon Delights (12 Pack - Serves 4), Veggie Cravings",,,2026-02-04
Taco Bell,Power Menu Bowl - Steak,480,25,23,1280,42,7,0,60,7,4,34573,,"Power Menu Bowl - Steak, Power Menu",,,2026-02-04
Taco Bell,Hash Brown Toasted Breakfast Burrito - Steak,570,24,30,1350,53,10,0,135,3,3,950255,,"Hash Brown Toasted Breakfast Burrito - Steak, Breakfast",,,2026-02-04
Taco Bell,Grande Toasted Breakfast Burrito - Bacon,570,23,30,1310,52,11,0,220,4,3,950250,,"Grande Toasted Breakfast Burrito - Bacon, Breakfast",,,2026-02-04
Taco Bell,Breakfast Quesadilla - Sausage,510,23,29,1130,40,15,0,150,3,3,954724,,"Breakfast Quesadilla - Sausage, Breakfast",,,2026-02-04
Taco Bell,Grande Toasted Breakfast Burrito - Sausage,570,21,31,1190,51,12,0,220,4,3,950251,,"Grande Toasted Breakfast Burrito - Sausage, Breakfast",,,2026-02-04
Shake Shack,Burger Patty,190,19,12,690,0,4.5,0.5,65,0,0,941192,,"Burger Patty, Burgers",,,2026-02-04
Shake Shack,Garden Dog,180,8,3,1060,27,0,0,10,1,7,941248,,"Garden Dog, Non-GMO Potato Bun, Flat-Top Dogs",,,2026-02-04
Shake Shack,Martin's Potato Roll,180,7,6,170,24,3,0,10,0,5,941214,,"Martin's Potato Roll, Burgers",,,2026-02-04
Shake Shack,Bacon (2 Slices),70,6,4.5,290,0,1.5,0,15,0,0,941187,,"Bacon (2 Slices), Burgers",,,2026-02-04
Shake Shack,American Cheese,70,4,6,340,1,3.5,0,15,0,0,941186,,"American Cheese, Burgers",,,2026-02-04
