name,code,category,url,image_url,image_path,price,serving_size,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian,calories_api
Nachos BellGrande®,22502,Best sellers,https://www.tacobell.com/food/nachos/nachos-bellgrande,https://www.tacobell.com/images/22502_nachos_bellgrande_269x269.jpg,images/Nachos_BellGrande.jpg,$6.99,,730,38.0,6.0,0.0,20,"1,180",81,13,4,<1,17,False,730
Cinnamon Twists,22525,Best sellers,https://www.tacobell.com/food/sweets/cinnamon-twists,https://www.tacobell.com/images/22525_cinnamon_twists_269x269.jpg,images/Cinnamon_Twists.jpg,$1.69,,170,6.0,0.5,0.0,0,115,27,<1,10,10,1,True,170
Cantina Chicken Burrito,23472,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-burrito,https://www.tacobell.com/images/23472_new_cantina_chicken_burrito_269x269.jpg,images/Cantina_Chicken_Burrito.jpg,$6.69,,530,28.0,9.0,0.0,80,"1,190",44,5,4,1,24,False,590
Cantina Chicken Soft Taco,23470,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-soft-taco,https://www.tacobell.com/images/23470_new_cantina_chicken_soft_taco_269x269.jpg,images/Cantina_Chicken_Soft_Taco.jpg,$3.49,,210,10.0,3.5,0.0,35,530,19,3,2,<1,12,False,260
Cantina Chicken Crispy Taco,23471,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-crispy-taco,https://www.tacobell.com/images/23471_new_cantina_chicken_crispy_taco_269x269.jpg,images/Cantina_Chicken_Crispy_Taco.jpg,$3.49,,270,15.0,6.0,0.0,50,520,19,4,<1,0,15,False,330
Cantina Chicken Quesadilla,23477,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-quesadilla,https://www.tacobell.com/images/23477_cantina_chicken_quesadilla_new_269x269.jpg,images/Cantina_Chicken_Quesadilla.jpg,$7.19,,550,28.0,14.0,0.0,90,"1,310",46,5,3,1,29,False,660
Cantina Chicken Bowl,23473,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-bowl,https://www.tacobell.com/images/23473_new_cantina_chicken_bowl_269x269.jpg,images/Cantina_Chicken_Bowl.jpg,$8.99,,480,23.0,7.0,0.0,75,"1,170",44,10,3,0,24,False,530
Avocado Verde Salsa Sauce Packet,23476,Cantina chicken menu,https://www.tacobell.com/food/sides-sweets/cantina-sauce,https://www.tacobell.com/images/23476_new_avocado_verde_salsa_sauce_packet_269x269.jpg,images/Avocado_Verde_Salsa_Sauce_Packet.jpg,$0.20,,50,5.0,1.0,0.0,0,70,<1,0,0,0,0,True,50
Beefy Potato Loaded Griller,25501,New,https://www.tacobell.com/food/specialties/beefy-potato-loaded-griller,https://www.tacobell.com/images/25501_beef_potato_loaded_griller_269x269.jpg,images/Beefy_Potato_Loaded_Griller.jpg,$2.79,,480,23.0,6.0,0.0,25,"1,120",56,5,3,2,12,False,490
Salted Caramel Churros 3pk,25504,New,https://www.tacobell.com/food/sweets/salted-caramel-churros-3pk,https://www.tacobell.com/images/25504_salted_caramel_churros_3pk_269x269.jpg,images/Salted_Caramel_Churros_3pk.jpg,$1.99,,,,,,,,,,,,,False,230
