name,code,category,url,image_url,image_path,price,serving_size,ingredients,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian
Cheesy Gordita Crunch,22813,Best sellers,https://www.tacobell.com/food/specialties/cheesy-gordita-crunch,https://www.tacobell.com/images/22813_cheesy_gordita_crunch_269x269.jpg,images/Cheesy_Gordita_Crunch.jpg,$5.99,,,490,26.0,10.0,0.0,50,830,44,6,4,<1,20,False
Chalupa Supreme,22850,Best sellers,https://www.tacobell.com/food/specialties/chalupa-supreme,https://www.tacobell.com/images/22850_chalupa_supreme_269x269.jpg,images/Chalupa_Supreme.jpg,$5.99,,,350,20.0,5.0,0.0,25,570,32,4,3,<1,12,False
Cheesy Bean and Rice Burrito,22283,Best sellers,https://www.tacobell.com/food/cravings-value-menu/cheesy-bean-and-rice-burrito,https://www.tacobell.com/images/22283_cheesy_bean_and_rice_burrito_269x269.jpg,images/Cheesy_Bean_and_Rice_Burrito.jpg,$1.59,,,420,16.0,3.5,0.0,<5,950,56,6,3,2,9,True
Chicken Quesadilla,22321,Best sellers,https://www.tacobell.com/food/quesadillas/chicken-quesadilla,https://www.tacobell.com/images/22321_quesadilla_269x269.jpg,images/Chicken_Quesadilla.jpg,$6.89,,,510,24.0,12.0,0.0,70,"1,260",44,4,4,2,26,False
Spicy Potato Soft Taco,22259,Best sellers,https://www.tacobell.com/food/cravings-value-menu/spicy-potato-soft-taco,https://www.tacobell.com/images/22259_spicy_potato_soft_taco_269x269.jpg,images/Spicy_Potato_Soft_Taco.jpg,$1.39,,,240,11.0,3.0,0.0,10,470,28,2,1,<1,5,True
Crunchwrap Supreme®,22362,Best sellers,https://www.tacobell.com/food/specialties/crunchwrap-supreme,https://www.tacobell.com/images/22362_crunchwrap_supreme_269x269.jpg,images/Crunchwrap_Supreme.jpg,$6.59,,,530,20.0,7.0,0.0,20,"1,210",74,6,6,2,15,False
Beefy 5-Layer Burrito,22167,Best sellers,https://www.tacobell.com/food/burritos/beefy-5-layer-burrito,https://www.tacobell.com/images/22167_beefy_5_layer_burrito_269x269.jpg,images/Beefy_5-Layer_Burrito.jpg,$4.99,,,490,18.0,8.0,0.0,30,"1,290",65,7,4,2,17,False
Nachos BellGrande®,22502,Best sellers,https://www.tacobell.com/food/nachos/nachos-bellgrande,https://www.tacobell.com/images/22502_nachos_bellgrande_269x269.jpg,images/Nachos_BellGrande.jpg,$6.99,,,730,38.0,6.0,0.0,20,"1,180",81,13,4,<1,17,False
Cinnamon Twists,22525,Best sellers,https://www.tacobell.com/food/sweets/cinnamon-twists,https://www.tacobell.com/images/22525_cinnamon_twists_269x269.jpg,images/Cinnamon_Twists.jpg,$1.69,,"Twist: Wheat flour, yellow corn meal, rice flour, salt. Cinnamon sugar: sugar, cinnamon, soybean oil, maltodextrin or dextrin, natural flavors. Prepared in canola oil. Contains: Wheat [certified vegan]",170,6.0,0.5,0.0,0,115,27,<1,10,10,1,True
Cantina Chicken Burrito,23472,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-burrito,https://www.tacobell.com/images/23472_new_cantina_chicken_burrito_269x269.jpg,images/Cantina_Chicken_Burrito.jpg,$6.69,,,590,28.0,14.0,0.0,90,"1,310",46,5,3,1,29,False
