name,category,url,image_url,image_path,price,calories,calories_kcal,sodium_mg,sugars_g,protein_g,description,price_cal_text
5 Piece Crispy Chicken Nuggets,specialties,https://www.tacobell.com/food/deals-and-combos/5-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29404_5pc_crispy_chicken_nuggets_269x269.jpg,images/5_Piece_Crispy_Chicken_Nuggets.jpg,$0.00,0,True,False,False,False,10 Piece Crispy Chicken Nuggets Combo,
Steak Garlic Nacho Fries,specialties,https://www.tacobell.com/food/specialties/steak-garlic-nacho-fries,https://www.tacobell.com/images/23891_steak_garlic_nacho_fries_269x269.jpg,images/Steak_Garlic_Nacho_Fries.jpg,$0.00,0,False,False,<p><b>Warning:</b>,False,"Golden, crispy Nacho Fries topped with grilled marinated steak, warm nacho cheese sauce, our creamy and savory garlic ranch sauce, and topped with shredded cheddar cheese and freshly prepared pico de gallo.",
Volcano Quesarito,specialties,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$0.00,0,True,False,False,False,Steak Cheesy Dipping Burritos,
Large Nacho Fries,specialties,https://www.tacobell.com/food/deals-and-combos/large-nacho-fries,https://www.tacobell.com/images/28183_nacho_fries_large_269x269.jpg,images/Large_Nacho_Fries.jpg,$0.00,0,True,False,False,False,Chips and Nacho Cheese Sauce,
Nacho Fries,specialties,https://www.tacobell.com/food/deals-and-combos/nacho-fries,https://www.tacobell.com/images/28095_nacho_fries_269x269.jpg,images/Nacho_Fries.jpg,$0.00,0,True,False,False,False,Chips and Nacho Cheese Sauce,
3 Cheese Chicken Flatbread Melt,specialties,https://www.tacobell.com/food/quesadillas/3-cheese-chicken-flatbread-melt,https://www.tacobell.com/images/23499_new_3_cheese_chicken_flatbread_melt_269x269.jpg,images/3_Cheese_Chicken_Flatbread_Melt.jpg,$0.00,0,True,False,False,False,Cheesy Bean and Rice Burrito,
Mexican Pizza,specialties,https://www.tacobell.com/food/specialties/mexican-pizza,https://www.tacobell.com/images/22303_mexican_pizza_269x269.jpg,images/Mexican_Pizza.jpg,$0.00,0,True,False,False,False,Cheesy Gordita Crunch,
Veggie Mexican Pizza,specialties,https://www.tacobell.com/food/specialties/veggie-mexican-pizza,https://www.tacobell.com/images/23326_veggie_mexican_pizza_269x269.jpg,images/Veggie_Mexican_Pizza.jpg,$0.00,0,True,False,False,False,Black Bean Crunchwrap Supreme®,
Crunchwrap Supreme®,specialties,https://www.tacobell.com/food/specialties/crunchwrap-supreme,https://www.tacobell.com/images/22362_crunchwrap_supreme_269x269.jpg,images/Crunchwrap_Supreme.jpg,$0.00,0,True,False,False,False,"Crunchwrap Supreme® swapped for Slow-Roasted Chicken, add Creamy Jalapeño Sauce, Jalapeño Peppers, Pico De Gallo and Potatoes, easy Reduced-Fat Sour Cream",
Black Bean Crunchwrap Supreme®,specialties,https://www.tacobell.com/food/specialties/black-bean-crunchwrap-supreme,https://www.tacobell.com/images/26051_vegetarian_crunchwrap_269x269.jpg,images/Black_Bean_Crunchwrap_Supreme.jpg,$0.00,0,True,False,False,False,Black Bean Chalupa Supreme,
